rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,subfamily
wfo-0000193208,2336285,Fabaceae,Koompassia,grandiflora,,Koompassia grandiflora,Kosterm.,Species,Accepted,2336285,2336292,,"Bull. Jard. Bot. Buitenzorg, sér. 3, 18: 443 (1950)",,New Guinea,ipni:501263-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501263-1,wfo-4000020165,,63284,,,,,Dialioideae
wfo-0000172263,2368691,Fabaceae,Martiusia,excelsa,,Martiusia excelsa,Benth.,Species,Synonym,2368516,,,J. Bot. (Hooker) 2: 84 (1840),,,ipni:505982-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505982-1,,wfo-0000169427,63422,,,,,Dialioideae
wfo-0000468398,2535920,Fabaceae,Poeppigia,densiflora,,Poeppigia densiflora,Tul.,Species,Accepted,2535920,2535922,,Arch. Mus. Hist. Nat. 4: 122 (1844),,NE. Brazil (to Minas Gerais),ipni:515470-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:515470-1,wfo-4000030549,,64052,,,,,Dialioideae
wfo-4000041184,2470192,Fabaceae,Zenia,,,Zenia,Chun,Genus,Accepted,2470192,,,Sunyatsenia 6: 195 (1946),,S. China to Vietnam,ipni:23839-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:23839-1,wfo-4100002417,,65011,,,,,Dialioideae
wfo-0000172268,2368695,Fabaceae,Martiusia,parviflora,,Martiusia parviflora,Amshoff,Species,Synonym,2368520,,,Meded. Bot. Mus. Herb. Rijks Univ. Utrecht 52: 32 (1939),,,ipni:153741-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:153741-2,,wfo-0000169429,66077,,,,,Dialioideae
wfo-0001443887,2914212,Fabaceae,Labichea,rossii,,Labichea rossii,N.Gibson,Species,Accepted,2914212,2350870,,Nuytsia 21: 91 (2011),,Western Australia,ipni:77117728-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77117728-1,wfo-4000020324,,66381,,,,,Dialioideae
wfo-0000187652,2350882,Fabaceae,Labichea,buettneriana,,Labichea buettneriana,F.Muell.,Species,Accepted,2350882,2350870,,Australas. Chem. Druggist 5(13): 12 (1882),,NE. Queensland,ipni:501386-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501386-1,wfo-4000020324,,66410,,,,,Dialioideae
wfo-0000169429,2368520,Fabaceae,Martiodendron,parviflorum,,Martiodendron parviflorum,(Amshoff) Köppen,Species,Accepted,2368520,2368514,2368695,Brittonia 14: 202 (1962),,Guianas to N. Brazil,ipni:153730-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:153730-2,wfo-4000023240,,66682,,,,,Dialioideae
wfo-0001405435,2350794,Fabaceae,Labichea,teretifolia,grandistipulata,Labichea teretifolia subsp. grandistipulata,J.H.Ross,Subspecies,Accepted,2350794,2350793,,Muelleria 6: 31 (1985),,W. Western Australia,ipni:918978-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:918978-1,wfo-0000188282,,67337,,,,,Dialioideae
wfo-0000192843,2597146,Fabaceae,Storckiella,vitiensis,,Storckiella vitiensis,Seem.,Species,Accepted,2597146,2478158,,"Bonplandia (Hannover) 9: 363, t. 6 (1861)",,Fiji,ipni:519567-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:519567-1,wfo-4000036790,,67828,,,,,Dialioideae
wfo-0001401463,2357047,Fabaceae,Labichea,diversifolia,lanceolata,Labichea diversifolia var. lanceolata,(Benth.) Jacques,Variety,Synonym,2350879,,2350879,J. Soc. Imp. Centr. Hort. 1863: 642 (1863),", nom. superfl.",,ipni:90029-3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:90029-3,,wfo-0000187740,68472,,,,,Dialioideae
wfo-4000020324,2350870,Fabaceae,Labichea,,,Labichea,Gaudich. ex DC.,Genus,Accepted,2350870,,,Prodr. 2: 507 (1825),,N. Australia,ipni:22721-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:22721-1,wfo-4100002417,,69096,,,,,Dialioideae
wfo-0000357713,2336265,Fabaceae,Koompassia,parvifolia,,Koompassia parvifolia,Prain,Species,Synonym,2336287,,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 66: 166 (1897)",,,ipni:501266-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501266-1,,wfo-0000193200,69438,,,,,Dialioideae
wfo-0000176703,2535951,Fabaceae,Poeppigia,excelsa,,Poeppigia excelsa,A.Rich.,Species,Synonym,2539568,,,"R.de la Sagra, Hist. Phys. Cuba, Pl. Vasc.: 484 (1846)",,,ipni:515471-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:515471-1,,wfo-0000174236,69459,,,,,Dialioideae
