rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,Subgenus,subfamily
wfo-0000173928,2671927,Fabaceae,Bauhinia,pentandra,,Bauhinia pentandra,(Bong.) Vogel ex Steud.,Species,Accepted,2671927.0,2671275.0,2538505.0,"Nomencl. Bot., ed. 2, 1: 192 (1840)",,Bolivia to Brazil,ipni:481554-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481554-1,wfo-4000004242,,33991,,,,,,Cercidoideae
wfo-0000173907,2671607,Fabaceae,Bauhinia,fusconervis,,Bauhinia fusconervis,(Bong.) Steud.,Species,Accepted,2671607.0,2671275.0,2538486.0,"Nomencl. Bot., ed. 2, 1: 191 (1840)",,Brazil (E. Minas Gerais),ipni:481320-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481320-1,wfo-4000004242,,34007,,,,,,Cercidoideae
wfo-0000469513,2538544,Fabaceae,Pauletia,cupulata,,Pauletia cupulata,(Benth.) A.Schmitz,Species,Synonym,2671501.0,,2671501.0,Bull. Jard. Bot. Natl. Belg. 43: 394 (1973),,,ipni:512796-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512796-1,,wfo-0000173898,34038,,,,,,Cercidoideae
wfo-0000173948,2672164,Fabaceae,Bauhinia,ungulata,,Bauhinia ungulata,L.,Species,Accepted,2672164.0,2671275.0,,Sp. Pl.: 374 (1753),,Mexico to S. Trop. America,ipni:316241-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:316241-2,wfo-4000004242,,34091,,,,,,Cercidoideae
wfo-1200000484,2671852,Fabaceae,Bauhinia,micrantha,puberula,Bauhinia micrantha var. puberula,Benth.,Variety,Synonym,3014592.0,,,Fl. Austral. 3: 170 (1867),,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2671852-4,,wfo-0001421742,34094,,,,,,Cercidoideae
wfo-0000469500,2538512,Fabaceae,Pauletia,membranacea,,Pauletia membranacea,(Benth.) A.Schmitz,Species,Synonym,2671844.0,,2671844.0,Bull. Jard. Bot. Natl. Belg. 43: 395 (1973),,,ipni:512826-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512826-1,,wfo-0000173919,34096,,,,,,Cercidoideae
wfo-0001379586,2671816,Fabaceae,Bauhinia,macrostachya,obtusifolia,Bauhinia macrostachya var. obtusifolia,Ducke,Variety,Synonym,2672165.0,,,Arch. Jard. Bot. Rio de Janeiro 3: 106 (1922),,,ipni:30112-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30112-2,,wfo-0001320012,34175,,,,,,Cercidoideae
wfo-0000181991,2671841,Fabaceae,Bauhinia,megasiphon,,Bauhinia megasiphon,Burkart,Species,Synonym,2671330.0,,,Darwiniana 12: 247 (1961),,,ipni:30120-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30120-2,,wfo-0000179897,34181,,,,,,Cercidoideae
wfo-4000007401,2711402,Fabaceae,Cercis,,,Cercis,L.,Genus,Accepted,2711402.0,,,Sp. Pl.: 374 (1753),,Subtrop. to Temp. Northern Hemisphere,ipni:30001619-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30001619-2,wfo-4100002414,,34219,,,,,Cercidoideae,Cercidoideae
wfo-0000469480,2538486,Fabaceae,Pauletia,fusconervis,,Pauletia fusconervis,Bong.,Species,Synonym,2671607.0,,,"Mém. Acad. Imp. Sci. Saint-Pétersbourg, Sér. 6, Sci. Math., Seconde Pt. Sci. Nat. 4(2, Bot.): 116 (1838)",,,ipni:512807-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512807-1,,wfo-0000173907,34225,,,,,,Cercidoideae
wfo-0001049535,2671475,Fabaceae,Bauhinia,congesta,,Bauhinia congesta,(Britton & Rose) Lundell,Species,Synonym,2671805.0,,2926518.0,Phytologia 1: 214 (1937),,,ipni:30022-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30022-2,,wfo-0001049553,34259,,,,,,Cercidoideae
wfo-0000183907,2671968,Fabaceae,Bauhinia,porrecta,,Bauhinia porrecta,Sw.,Species,Synonym,2671531.0,,,Prodr. Veg. Ind. Occ.: 66 (1788),,,ipni:30146-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30146-2,,wfo-0000183531,34402,,,,,,Cercidoideae
wfo-0000176274,2671289,Fabaceae,Bauhinia,aegopoda,,Bauhinia aegopoda,St.-Lag.,Species,Synonym,2671932.0,,,Ann. Soc. Bot. Lyon 7: 69 (1880),,,ipni:481084-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481084-1,,wfo-0000173929,34408,,,,,,Cercidoideae
wfo-0000213310,2538424,Fabaceae,Perlebia,urbaniana,,Perlebia urbaniana,(Schinz) A.Schmitz,Species,Synonym,2672170.0,,2672170.0,Bull. Jard. Bot. Natl. Belg. 43: 386 (1973),,,ipni:513093-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513093-1,,wfo-0000213299,34450,,,,,,Cercidoideae
wfo-0000186494,2711415,Fabaceae,Cercis,chinensis,,Cercis chinensis,Bunge,Species,Accepted,2711415.0,2711402.0,,Enum. Pl. China Bor.: 21 (1833),,China,ipni:485670-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:485670-1,wfo-4000007401,,34527,,,,,,Cercidoideae
wfo-0000596660,2711438,Fabaceae,Cercis,pubescens,,Cercis pubescens,S.Y.Wang,Species,Synonym,2711415.0,,,J. Henan Agric. Coll. 1980(2): 8 (1980),,,ipni:976450-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:976450-1,,wfo-0000186494,34537,,,,,,Cercidoideae
