rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,subfamily
wfo-0000184980,2451893,Fabaceae,Vouapa,latifolia,,Vouapa latifolia,(Vogel) Taub.,Species,Synonym,2366108,,2366108,Bot. Centralbl. 47: 394 (1891),,,ipni:525625-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:525625-1,,wfo-0000169385,87047,,,,,Detarioideae
wfo-0000174099,2787611,Fabaceae,Elizabetha,coccinea,,Elizabetha coccinea,R.H.Schomb. ex Benth.,Species,Synonym,3237095,,,J. Bot. (Hooker) 2: 92 (1840),,,ipni:493753-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:493753-1,,wfo-0001444038,87129,,,,,Detarioideae
wfo-0001373597,2376482,Fabaceae,Macrolobium,suaveolens,petiolatum,Macrolobium suaveolens var. petiolatum,R.S.Cowan,Variety,Accepted,2376482,2366472,,Mem. New York Bot. Gard. 8: 320 (1953),,N. Brazil to N. Peru,ipni:148990-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148990-2,wfo-0000169411,,87176,,,,,Detarioideae
wfo-0000168358,2414895,Fabaceae,Peltogyne,excelsa,,Peltogyne excelsa,Ducke,Species,Accepted,2414895,2538385,,Trop. Woods 31: 12 (1932),,Brazil (Amazonas: near Manaus),ipni:512983-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512983-1,wfo-4000028510,,87226,,,,,Detarioideae
wfo-0000170688,2591716,Fabaceae,Schotia,brachypetala,,Schotia brachypetala,Sond.,Species,Accepted,2591716,2490365,,Linnaea 23: 39 (1850),,S. Trop. & S. Africa,ipni:518039-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:518039-1,wfo-4000034571,,87228,,,,,Detarioideae
wfo-0000206171,2336261,Fabaceae,Kingiodendron,alternifolium,,Kingiodendron alternifolium,(Elmer) Merr. & Rolfe,Species,Synonym,2536350,,2752233,"Philipp. J. Sci., C 4: 267 (1909)",,,ipni:501250-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501250-1,,wfo-0000206175,87445,,,,,Detarioideae
wfo-0001052474,2366434,Fabaceae,Macrolobium,conjunctum,,Macrolobium conjunctum,R.S.Cowan,Species,Accepted,2366434,2366400,,Proc. Biol. Soc. Washington 86: 450 (1973),,N. Brazil,ipni:148921-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148921-2,wfo-4000022724,,87519,,,,,Detarioideae
wfo-0000170045,2388562,Fabaceae,Oxystigma,gilbertii,,Oxystigma gilbertii,J.Léonard,Species,Synonym,2536357,,,Bull. Séances Inst. Roy. Colon. Belge 21: 748 (1950),,,ipni:511229-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:511229-1,,wfo-0001252468,87669,,,,,Detarioideae
wfo-0000414749,2444689,Fabaceae,Tamarindus,erythraeus,,Tamarindus erythraeus,Mattei,Species,Synonym,2444682,,,Boll. Reale Orto Bot. Palermo 7: 95 (1908),,,ipni:520166-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:520166-1,,wfo-0000170926,87715,,,,,Detarioideae
wfo-1200001685,2591079,Fabaceae,Sindora,leiocarpa,,Sindora leiocarpa,Backer ex K.Heyne & de Wit,Species,Accepted,2591079,2591028,,"Bull. Jard. Bot. Buitenzorg, sér. 3, 18: 58 (1949)",,"Sumatera, Borneo",ipni:518604-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:518604-1,wfo-4000035428,,87847,,,,,Detarioideae
wfo-0000179344,3031207,Fabaceae,Macrolobium,limbatum,limbatum,Macrolobium limbatum var. limbatum,,Variety,Accepted,3031207,2366114,,Unknown,,S. Trop. America,ipni:77190470-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190470-1,wfo-0000183512,,87900,,,,,Detarioideae
wfo-0001387261,2366115,Fabaceae,Macrolobium,limbatum,propinquum,Macrolobium limbatum var. propinquum,R.S.Cowan,Variety,Accepted,2366115,2366114,,Proc. Biol. Soc. Washington 90: 238 (1977),,Peru to N. Brazil,ipni:885559-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:885559-1,wfo-0000183512,,87949,,,,,Detarioideae
wfo-0000197121,2592083,Fabaceae,Saraca,griffithiana,,Saraca griffithiana,Prain,Species,Accepted,2592083,2592102,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 66: 491 (1897)",,China (Yunnan) to Myanmar,ipni:517895-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:517895-1,wfo-4000033998,,88011,,,,,Detarioideae
wfo-0000169560,2346709,Fabaceae,Lysidice,rhodostegia,,Lysidice rhodostegia,Hance,Species,Accepted,2346709,2346717,,J. Bot. 5: 299 (1867),,S. China to Vietnam,ipni:505290-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505290-1,wfo-4000022560,,88101,,,,,Detarioideae
wfo-1200113068,3311587,Fabaceae,Hymenaea,confertiflora,,Hymenaea confertiflora,Mart. ex Hayne,Species,Synonym,2538388,,,Getreue Darstell. Gew. 11: t. 8 (1830),,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3311587-4,,wfo-0000183518,88221,,,,,Detarioideae
wfo-0000170067,2388566,Fabaceae,Oxystigma,msoo,,Oxystigma msoo,Harms,Species,Synonym,2536353,,,Repert. Spec. Nov. Regni Veg. 13: 417 (1914),,,ipni:511233-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:511233-1,,wfo-0001252473,88270,,,,,Detarioideae
wfo-0000199666,2331435,Fabaceae,Jonesia,minor,,Jonesia minor,Zoll. & Moritzi,Species,Synonym,2592086,,,Natuur- Geneesk. Arch. Ned.-Indië 3: 80 (1846),,,ipni:501119-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501119-1,,wfo-0000170646,88271,,,,,Detarioideae
wfo-0000180229,2366423,Fabaceae,Macrolobium,caudiculatum,,Macrolobium caudiculatum,Ducke,Species,Synonym,2376463,,,Trop. Woods 65: 28 (1941),,,ipni:148912-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148912-2,,wfo-0000178294,88282,,,,,Detarioideae
wfo-4000026559,2386693,Fabaceae,Oddoniodendron,,,Oddoniodendron,De Wild.,Genus,Accepted,2386693,,,Pl. Bequaert. 3: 222 (1925),,WC. Trop. Africa,ipni:23058-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:23058-1,wfo-4100002415,,88334,,,,,Detarioideae
